,id,publishedAt,title,companyName,postedTime,applicationsCount,description,contractType,experienceLevel,workType,sector,companyId,city,state,recently_posted_jobs
0,3800928381,2024-01-09,Front-end Engineer/Web Developer (SDE 1 &amp; 2),BOX8,3 weeks ago,85.0,"Skill: html5 , ajax , oop , git , postgresql , web developer , debugging , data structures , mysql , mvc , github , problem solving , javascript , angularjs; Exp: 4-7 years; Front-end Engineer/Web Developer (SDE 1 & 2) Job description Build, design and code new features and enhancements for Web Applications. Build cross browser and cross device compatible web applications. Participate in software architecture, design discussions and code reviews. Thorough understanding of JavaScript, its quirks, and workarounds. Unit-test code for robustness, including edge cases, usability, and general reliability. Continuously discover, evaluate, and implement new technologies to maximise development efficiency. Display end to end ownership for UI features including estimation and coordination with UX, product and backend team. Requirements BE/B Tech from 4 year college or university. 2 years of strong experience in developing web applications using at-least one JS Framework AngularJS / ReactJS / BackboneJS. Understanding of MVC frameworks. Strong in problem solving, data structures and algorithm design. A passion for writing maintainable & reusable code with an understanding of OOP, design patterns. Good understanding of asynchronous request handling, partial page updates, and AJAX. Experience with browser APIs, cross-browser compatibility and optimising front end performance. Familiarity with GIT version control. Familiarity with latest ES6 syntax and new developments in Javascript community. Deep knowledge of HTML5, CSS3 and Responsive Web Design. Production troubleshooting, debugging experience, familiarity with Dev Tools (Chrome / Mozilla Dev Tools). Ability to deliver code quickly from given scenarios in fast paced startup environment. Good working knowledge of DB - MySQL or PostgreSQL is a plus. Added advantage - GitHub, Sketch, AWS.",Full-time,Entry level,Engineering and Information Technology,Staffing and Recruiting,3479477,Bengaluru,Karnataka,No
1,3800929078,2024-01-09,Android Developer-SDE 1 &amp; 2(Software Development Engineer),BOX8,3 weeks ago,80.0,"Skill: algorithms , rest , github , css , html5 , mobile , problem solving , javascript , android development , oop , mvvm , java , web technologies , json , data structures; Exp: 1-3 years; Android Developer-SDE 1 & 2(Software Development Engineer) Job description Were looking for engineers to be a part of our Android development team. Our close-knit Android team works on high-quality multiple consumer and delivery partner applications. As a member of this team, youll collaborate closely with Product Owners, Designers and Engineers (3-in-a-box model) to create innovative solutions for our customers. & youll play an important role in product development from concept to launch. We don't need to emphasise the benefits of working in a food company, fun and food is omnipresent. Job Description Hiring for champs who believe in changing the world through technology Key Responsibilities Design, build, and maintain high performance, reusable, and reliable code Collaborate with cross-functional teams to define, design, and ship new features. Write Unit-test code for robustness, including edge cases, usability, and general reliability. Debug and resolve system wide issues independently Continuously discover, evaluate, and implement new technologies to maximize development efficiency. In short, you're involved from start to finish. Requirements Requirements 1-3 years of experience in developing enterprise class mobile apps for Android platform. Must to have Good understanding of OOP and architectural pattern (MVVM preferred) Good knowledge of Java Able to write apps using ( activities, fragments, services, and broadcast receivers) Good understanding of the Android development life cycle. Basic understanding of algorithms and data structures Good analytical skills and problem solving skills with a can-do attitude Good to have 1-3 years of experience in developing enterprise class mobile apps for Android platform. An entrepreneurial attitude that gets quality projects done quickly. Experience working with remote data via REST and JSON proficiency in using Android debug tools and Android Studio IDE. A Github account with some neat projects in it Experience with web technologies (JavaScript, CSS, HTML5)",Full-time,Entry level,Engineering and Information Technology,Staffing and Recruiting,3479477,Bengaluru,Karnataka,No
2,3792399495,2023-12-27,Web Developer,Mahe Technologies Private Limited,1 month ago,75.0,"The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.

Responsibilities


 * Revise, edit, proofread & optimize web content
 * Work with cross-functionally to enhance overall user experience of our platforms
 * Own various design tasks involved in the web development life cycle from start to finish
   
   

Qualifications


 * Bachelor's degree or equivalent experience in Computer Science
 * At least 1 - 2 years' of experience using HTML, CSS, and JavaScript
 * Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby)
 * Ability to multi-task, organize, and prioritize work",Full-time,Executive,Engineering and Information Technology,Information Technology & Services,14387125,Greater Kolkata Area,,No
3,3792604197,2023-12-27,Web Developer,Mahe Technologies Private Limited,1 month ago,52.0,"The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.

Responsibilities


 * Revise, edit, proofread & optimize web content
 * Work with cross-functionally to enhance overall user experience of our platforms
 * Own various design tasks involved in the web development life cycle from start to finish
   
   

Qualifications


 * Bachelor's degree or equivalent experience in Computer Science
 * At least 1 - 2 years' of experience using HTML, CSS, and JavaScript
 * Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby)
 * Ability to multi-task, organize, and prioritize work",Full-time,Executive,Engineering and Information Technology,Information Technology & Services,14387125,Greater Kolkata Area,,No
4,3808399427,2024-01-23,Software Engineer,Microsoft,1 week ago,26.0,"Do you have a passion for security? Do you like to find bugs in software? Have you ever wanted to build and run fuzzers that scale to thousands of cores? Why not become part of team dedicated to keeping the web safe!

The Microsoft Edge security team is responsible for securing Edge’s client code running on millions of devices worldwide. We work with developers to ensure features are designed with security in mind, we identify bugs before hackers do, and we respond to security incidents if they occur. We also work with industry partners to contribute security improvements to the open-source Chromium project to make the web safer for everyone.

Edge security is divided into two sister teams: Vulnerability Research and Security Operations. We are hiring for both, and successful applicants will be placed into the team which best fits their skills and interests.

We are looking for engineers with knowledge and experience in the field of computer security and a passion to learn, underpinned by a deep understanding of computer science. We are looking for individuals with skill sets applicable to either or both teams.

Vulnerability Research: some of the skills that we are looking for are native app security (memory corruption, exploit mitigations, logic issues, etc.), web application security (exploitation techniques such as XSS, mitigations such as CSP, etc.), code auditing, fuzzer development, application of cryptography, and exploit development.

Security Operations: the desired skills in this team are application development in C/C++ and Python, the ability to build and scale services and web applications on Microsoft Azure, fuzzer development (for example using libfuzzer or AFL++), research and tooling for code analysis at scale.

Most of all we are looking for individuals who care deeply about keeping Microsoft customers safe from malicious actors.

Responsibilities

Vulnerability Research primary requirements/responsibilities:


 * Conduct security reviews to identify and mitigate risk in Microsoft Edge. Activities include design review, code reviews, fuzzing, and penetration testing.
 * Respond to security incidents and reports from external researchers.
 * Use a variety of tools and techniques to identify and drive fixes to security vulnerabilities.
 * Collaborate with other security teams across Microsoft to design and develop new security mitigations and defences.
 * Work closely with our partners in the Chromium community to improve browser security.
   
   

Security Operations Primary Requirements/responsibilities


 * Build and maintain our fuzzing infrastructure across thousands of cores on Azure across three platforms and two architectures.
 * Develop new tools and techniques to discover new security bugs at scale.
 * Write fuzzers to automatically test Edge’s code base and find new issues.
   
   

Qualifications

Basic Qualifications:


 * B.S., Computer Science or equivalent work experience or degree
   
   

Required Experience


 * 2+ years of experience in a relevant professional development or security-focused role
 * Some of which must be specialising in security.
 * Competence in writing at least two of Java/C/C++, JavaScript, and Python
   
   

The Following Additional Experiences Are Favourable, But Not Requirements


 * Public track record of relevant security research along with relevant CVEs if available, especially around browser vulnerability discovery.
 * Development and deployment of fuzz testing software.
 * Experience with basic exploit development.
   
   

#EdgeIndia #Edge #E+D #E+DWebXT

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Full-time,Not Applicable,Engineering and Information Technology,Software Development,1035,Hyderabad,Telangana,Yes
5,3803684281,2024-01-17,Software Engineer,Microsoft,2 weeks ago,200.0,"Microsoft Endpoint Manager (MEM) Is An Integrated Endpoint Management Solution That Helps Deliver Modern Workspace And Modern Management Capabilities To Keep Data Secure. MEM Is Part Of Microsoft Enterprise Mobility + Security Suite (EMS) And Recognized As Leader In Magic Quadrant For Unified Endpoint Solutions By Gartner. MEM Currently Manages 200M+ Devices For 300K+ Organizations Across Globe And Is Ranked As MEM Is An Integrated Solution Of Intune, Configuration Manager (also Known As SCCM), Autopilot, Endpoint Analytics. It Provides Effective IT Services


 * Saleable and secure deployment of operating systems, applications, and updates
 * Compliance and security Settings enforcement
 * Cloud powered analytics and reporting for our customer persona IT admin and ITDM.
   
   

As a Software Engineer in this org, you will be working on developing modern experiences for IT workers and building world class backend and analytical services s. In this role you will be working on one of the following problems


 * Modernize our Resource Access microservices for scale and simplicity.
 * Scale Intune reporting capabilities and improve visibility on device compliance levels.
 * Scale device health data pipelines and build experimentation platform within compliance boundary.
   
   

In this opportunity, you will be working on developing core backend services that are critical to our customers’ IT management. You will get an opportunity to leverage various azure technologies such as event hub, CosmosDB, KeyVault to build our mission critical services. You will get great opportunities to work with our senior architects and mentor talented engineers in our team to deliver such services.

Responsibilities


 * Develop low level design approaches, evaluate pros/cons of design patterns for a feature enhancement.
 * Become subject matter expert in the owned codebase and features.
 * Active coding and participation in peer code review, design reviews.
   
   

Qualifications

Skills and requirements that are essential for this role:


 * 1+ years of Hands-on experience in software development with proven track record of designing solutions with demonstrated usage
 * Strong problem solving skills and CS Fundamental concepts.
 * Strong knowledge of object-oriented programming, System programming
 * Passion for customer interaction and desire to exceed what our customers demand of us.
   
   

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Full-time,Not Applicable,Engineering and Information Technology,Software Development,1035,Noida,Uttar Pradesh,No
6,3797582265,,Software Engineer - Fullstack,LinkedIn,17 hours ago,200.0,"LinkedIn was built to help professionals achieve more in their careers, and everyday millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to have a direct impact on the world’s workforce in ways no other company can. We are much more than a digital resume – we transform lives through innovative products and technology.

As a part of the Compute Infrastructure org, you will play a pivotal role in architecting, designing, developing, and supporting Internet-scale features that define LinkedIn’s next-gen compute infrastructure. The ideal candidate will be excited for the challenge to transform and think critically on many computer science disciplines including product design, usability, UI and UX, building APIs and user-centric online applications, business logic, scaling performance, and 24x7 reliability.

At LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can both work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together.

Responsibilities:
- As a full stack software developer on this team, you will own the design, development, testing, deployment of Compute infra applications, with focus on the frontend as well as backend.
- Design and develop scalable, high-performance, and reliable UI/UX functionalities for Linkedin’s compute infrastructure platform
- Work with stakeholders across teams to understand compute management experiences, translate them to UX requirements and build technical solutions to address gaps
- Scale distributed applications, make architectural trade-offs applying synchronous and asynchronous design patterns, write code, and deliver with speed and quality.
- Produce high quality software that is unit tested, code reviewed, and checked in regularly for continuous integration.
- Identify, leverage, and successfully evangelize opportunities to improve engineering productivity.

Basic Qualifications:
- BA/BS Degree in Computer Science or related technical discipline or related practical experience.
- 1+ years of hands-on development experience in JavaScript using React/Angular/EmberJS
- 1+ years experience programming experience in a Object Oriented programming language like Golang, C++, Java, Python

Preferred Qualifications:
- Expertise with Full Stack Web Development using JS frameworks like React, Angular etc.
- Proven coding skills in Golang with interest and ability to learn other coding languages as needed.
- Expert knowledge of computer science, with strong competencies in data structures, algorithms, and software design.
- Experience with object-oriented design, coding, testing patterns to delivery incremental & high quality software
- Experience building web applications and services with IDEs and general development practices.
- Experience working on development of a large scale compute stack (Kubernetes, containerization, Cloud computing) is an added bonus

- Suggested Skills:
• Data Structures & Algorithms
• React.js
• Golang / Java

You will Benefit from our Culture:
We strongly believe in the well-being of our employees and their families. That is why we offer generous health and wellness programs and time away for employees of all levels.


India Disability Policy
LinkedIn is an equal employment opportunity employer offering opportunities to all job seekers, including individuals with disabilities. For more information on our equal opportunity policy, please visit https://legal.linkedin.com/content/dam/legal/Policy_India_EqualOppPWD_9-12-2023.pdf

Global Data Privacy Notice for Job Candidates
This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal",Full-time,Not Applicable,Engineering,"IT Services and IT Consulting and Technology, Information and Internet",1337,Bengaluru,Karnataka,Yes
7,3792934769,2024-01-27,"Software Engineer, Systems Infrastructure",LinkedIn,6 days ago,200.0,"LinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun, where everyone can succeed.

Join us to transform the way the world works.

This role will be based in Bangalore, India.

At LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can both work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together.

As part of our world-class software engineering team, you will be charged with building the next-generation infrastructure and platforms for LinkedIn, including but not limited to: an application and service delivery platform, massively scalable data storage and replication systems, cutting-edge search platform, best-in-class AI platform, experimentation platform, privacy and compliance platform etc. You will work and learn among the best, putting to use your passion for distributed technologies and algorithms, API design and systems-design, and your passion for writing code that performs at an extreme scale. LinkedIn has already pioneered well-known open-source infrastructure projects like Apache Kafka, Pinot, Azkaban, Samza, Venice, Datahub, Feather, etc. We also work with industry standard open source infrastructure products like Kubernetes, GRPC and GraphQL - come join our infrastructure teams and share the knowledge with a broader community while making a real impact within our company.

Responsibilities:
- You will design, build and operate one of the online data infra platforms that power all of Linkedin’s core applications.
- You will participate in design and code reviews to maintain our high development Standards.
- You will partner with peers, leads and partners to define, scope, prioritize, and build impactful features at a high velocity.

Basic Qualifications:
- BA/BS Degree in Computer Science or related technical discipline, or related practical experience
- 2+ years of industry experience in software design, development, and algorithm related solutions
- Experience programming in Object-oriented languages such as Java, Python, Go, and/or Functional languages such as Scala

Preferred Qualifications:
- Experience in building machine learning platforms at large scale
- Familiarity with techniques used in big data and AI
- Good knowledge in distributed data processing technologies
- Experience with industry, open-source projects and/or academic research in large-data, machine learning systems, such as Spark, TensorFlow, PyTorch, or XGBoost

Suggested Skills:
- Distributed systems
- Backend Systems Infrastructure
- Java

You will Benefit from our Culture:
We strongly believe in the well-being of our employees and their families. That is why we offer generous health and wellness programs and time away for employees of all levels.



India Disability Policy
LinkedIn is an equal employment opportunity employer offering opportunities to all job seekers, including individuals with disabilities. For more information on our equal opportunity policy, please visit http://careers.jobvite.com/linkedin/India-LinkedIn-Equal-Opportunity-for-Persons-With-Disabilities-Policy-2018.pdf

Global Data Privacy Notice for Job Candidates
This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",Full-time,Not Applicable,Engineering,"IT Services and IT Consulting and Technology, Information and Internet",1337,Bengaluru,Karnataka,Yes
8,3798291122,2024-01-25,Software Engineer - Front-end Developer,Nissan Motor Corporation,1 week ago,200.0,"Nissan is a pioneer in Innovation and Technology. With a focus on Mobility, Operational Excellence, Value to our Customers and Electrification of vehicles, you can expect to be part of a very exciting journey here at Nissan.

Nissan is going after a massive Digital Transformation backed by leading technologies across the organization globally. We are committed to building a diverse, entrepreneurial organization, and our current team is strong evidence of that. Our people are what drive the business forward. At Nissan Digital, you will be part of a dynamic team with ample opportunities to grow and make a difference

Software Engineer - Front-end Developer

Job Summary

We are seeking a talented and experienced Frontend Developer to join our team. As a Frontend Developer, you will be responsible for designing, developing, and implementing user interfaces for our web applications. You will collaborate closely with the design and backend development teams to ensure seamless integration and deliver high-quality user experiences.


 * Develop user-friendly and responsive web interfaces using HTML, CSS, and JavaScript, adhering to best practices and industry standards.
 * Collaborate with the design team to translate wireframes and visual designs into functional web pages, ensuring a seamless user experience.
 * Implement and maintain front-end frameworks and libraries, such as React, Angular, or Vue.js, to enhance website performance and interactivity.
 * Optimize web applications for maximum speed and scalability, ensuring cross-browser and cross-platform compatibility.
 * Conduct thorough testing and debugging of web applications, identifying and resolving any performance or usability issues.
 * Collaborate with the backend development team to integrate frontend interfaces with server-side functionalities, ensuring efficient data exchange and smooth functionality.
 * Stay updated with the latest industry trends, technologies, and best practices related to frontend development, and proactively suggest improvements to enhance the development process and user experience.
 * Work closely with the project management team to estimate timelines, prioritize tasks, and deliver projects on schedule.
 * Collaborate with cross-functional teams, including designers, developers, and stakeholders, to gather requirements and ensure effective communication throughout the development lifecycle.
 * Conduct code reviews to maintain code quality, identify areas for improvement, and ensure adherence to coding standards and best practices.
   
   

Experience & Expertise


 * Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent experience).
 * Proven experience as a Frontend Developer or similar role, with a strong portfolio showcasing previous web development projects.
 * Proficient understanding of web markup languages, including HTML5 and CSS3.
 * Strong knowledge of JavaScript and modern frontend frameworks (e.g., React, Angular, Vue.js) and their associated ecosystems.
 * Experience with version control systems (e.g., Git) and modern development workflows.
 * Familiarity with responsive design principles and mobile-first development.
 * Solid understanding of cross-browser compatibility and accessibility standards.
 * Experience with UI/UX design principles and the ability to work closely with designers to implement pixel-perfect interfaces.
 * Strong problem-solving skills and attention to detail.
 * Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
 * At least 3 years experience in Front end development
 * Strong communicator - Verbal, Written and Presentation skills to the business as well as to the technical team
 * Stellar Business Knowledge and Solution Thinking - own what you build.
 * A high bar across the board - from your own contributions to the people you work with to the Solutions you own.
 * Finger-tippiness with data - You just go get the data you need with no fuss and can whip it into valuable insights with no help. You know how to use data to make decisions without getting stuck in analysis paralysis.
 * User-centricity - examples from your past of tough business challenges that you powered through because you were unwilling to make your problems your users' problems.
   
   

Drive your career forward and join the company leading the technology and business evolution in the automotive industry.

Trivandrum Kerala India",Full-time,Entry level,Engineering and Information Technology,Motor Vehicle Manufacturing,221027,Trivandrum,Kerala,Yes
9,3794019186,2024-01-04,SDE 1 (Frontend),Furrl,4 weeks ago,200.0,"We are looking for a great JavaScript developer who is proficient with React.js . Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows (such as Flux or Redux). You will ensure that these components and the overall application are robust and easy to maintain. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem-solving, sophisticated design, and quality products is important.

Responsibilities


 * Developing new user-facing features using React.js .
 * Building reusable components and front-end libraries for future use.
 * Translating designs and wireframes into high-quality code.
 * Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
   
   

Requirements


 * Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model.
 * Thorough understanding of React.js and its core principles.
 * Experience with popular React.js workflows (such as Flux or Redux).
 * Familiarity with newer specifications of EcmaScript.
 * Experience with data structure libraries (e. g., Immutable.js ).
 * Knowledge of isomorphic React is a plus.
 * Familiarity with RESTful APIs.
 * Knowledge of modern authorization mechanisms, such as JSON Web Token.
 * Familiarity with modern front-end build pipelines and tools.
 * Experience with common front-end development tools such as Babel, Webpack, NPM, etc.
 * Ability to understand business requirements and translate them into technical requirements.
 * A knack for benchmarking and optimization.
 * Familiarity with code versioning tools {{such as Git, SVN, and Mercurial}}.
   
   

This job was posted by Abhijeet Singh from Furrl.",Full-time,Entry level,Information Technology and Engineering,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",82774077,Bengaluru,Karnataka,No
